,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
let-7a-2-3p,7,14,13,7,1,33,43,5,11,46,13,85,1,13,13,103,3,14,75,47,12,22,107,2,34,3,11,10,103,3,3
let-7a-3p,132,160,113,43,44,91,38,25,29,47,54,167,31,70,49,50,62,73,92,152,50,122,36,90,80,52,43,62,46,51,50
let-7a-5p,208011,201047,153128,86053,103174,229014,169337,101750,117775,89342,121880,220799,65457,187182,228564,156059,171645,218574,250652,140016,72390,191546,148064,250276,186356,71052,120835,156348,159176,209309,209195
let-7b-5p,78613,97197,77463,22988,61642,124015,71313,18514,28347,43305,58564,77719,11936,60817,97376,49516,52850,74366,91241,68604,13118,82792,68120,93099,90621,8389,51749,68643,77675,59958,59542
let-7c-3p,413,66,230,123,13,162,342,59,310,177,714,313,154,240,398,197,519,461,535,135,250,239,142,489,94,28,213,251,45,105,177
let-7c-5p,132406,103502,89121,47336,59207,153616,118469,37908,87678,51400,91567,126195,33216,97457,147880,61329,101324,130130,159291,85903,26444,90297,79030,148773,95210,16373,83111,112690,82063,84189,128262
let-7d-3p,699,3695,3993,2400,765,2561,667,1017,687,1561,1943,739,446,721,900,1672,1013,1344,1294,3068,1152,3268,3900,1172,2254,487,288,784,3781,720,491
let-7d-5p,17558,41319,30011,22988,13746,26897,12387,15810,10143,15872,17457,24402,6147,16876,14444,23836,11136,16012,19312,29380,11578,27293,23749,17683,21806,6998,9561,16713,24020,13809,11619
let-7e-3p,181,215,265,401,124,192,189,269,114,100,97,203,275,278,192,228,158,221,307,263,295,254,282,251,205,138,83,186,457,188,153
let-7e-5p,9746,10145,8593,20898,6677,10781,9972,14184,8241,6088,5615,11030,15852,10573,9154,6775,7586,9284,10613,11509,9047,9920,10406,11245,9629,4826,4599,8110,16125,10335,9147
let-7f-1-3p,24,221,202,35,76,119,50,43,19,94,75,35,9,38,35,115,36,52,48,142,47,176,81,44,107,13,19,43,88,15,20
let-7f-2-3p,53,69,134,186,38,58,28,43,52,35,51,82,43,60,41,136,53,84,73,105,70,74,82,64,61,62,37,57,70,35,36
let-7f-5p,37731,80213,64069,63504,32126,55857,27810,33118,33845,34175,33023,51775,18522,44427,36459,62994,29624,43296,47038,63018,27473,66044,54619,46288,52155,20246,22500,35265,48533,32130,24924
let-7g-3p,155,276,241,451,213,494,218,312,106,275,234,151,112,294,226,618,253,387,281,305,206,216,344,274,160,181,138,261,432,212,249
let-7g-5p,13869,22299,17706,42565,15067,36706,16143,26956,13812,21011,17594,17072,12389,18093,16295,29028,18408,24570,21184,26321,15626,16232,24912,19976,13037,13242,9834,20503,28128,19632,19826
let-7i-5p,11874,30791,30898,16768,5501,51264,11847,6387,5625,23083,13021,7873,4133,12627,11500,65871,11054,13811,14289,42194,7946,24398,22887,12372,20621,4630,6870,21820,27167,21732,13557
miR-1,6,473,42,108,52,60,264,19,124,41,249,8,74,83,3,6,31,92,34,17,6404,204,20,1,48,343,151,79,649,79,23
miR-100-3p,2,24,8,7,1,14,14,1,3,31,0,112,5,12,22,171,3,4,93,51,5,13,138,5,29,5,1,6,31,5,7
miR-100-5p,92065,20305,32487,31597,3075,69375,80532,18178,98556,25391,61814,106873,25802,56070,100191,59546,79866,84494,175419,35669,22350,25100,54925,88504,30707,6312,43882,71384,50495,34138,80012
miR-101-3p,19504,35867,35833,32859,13969,18080,11798,24279,13226,9182,9874,24658,14496,18898,17179,17770,13602,23472,24970,32639,11967,21605,19125,19746,17327,21195,10079,19654,20345,15239,15429
miR-101-5p,1074,1256,1825,1498,525,1013,833,1579,770,337,387,1002,903,1134,1097,981,828,1169,1453,1264,412,1224,1067,1215,826,1112,554,1276,1313,1142,1260
miR-103a-2-5p,204,418,570,1424,351,636,306,534,880,292,446,321,671,420,292,506,289,444,388,292,646,427,507,472,342,507,237,562,910,505,421
miR-103a-3p,8419,12104,12993,46358,9049,17241,9122,22623,26343,8955,13907,10898,20380,13299,11303,14407,11136,12324,11829,8520,18845,10076,16041,15331,8467,16403,6226,18780,26937,17961,16333
miR-105-3p,4,7,0,1,0,0,0,0,0,6,4,0,122,0,2,21,1,11,2,0,1,4,5,7,4,39,0,2,19,16,10
miR-105-5p,28,15,4,9,3,0,9,2,13,78,88,18,1959,1,16,186,11,146,25,10,1,8,61,57,15,546,1,28,327,167,58
miR-106a-3p,3,2,15,3,34,23,6,5,24,21,14,1,9,14,3,3,16,5,5,41,19,12,8,14,14,4,8,6,22,8,3
miR-106a-5p,1483,32152,24361,12970,8134,32098,6191,6407,14342,17375,14641,3083,23559,5207,1561,14323,15277,9021,4174,28661,27511,12583,21490,3864,17900,27312,2250,4895,17542,8654,5908
miR-106b-3p,591,2096,3153,4709,847,3509,1293,1233,1462,1675,1227,567,933,1734,816,720,2398,1045,756,2142,638,2244,1587,1018,1961,800,1037,1990,1142,2364,2234
miR-106b-5p,14971,58517,79546,120199,15483,66142,26906,41578,34139,29829,26806,18655,26661,60728,21203,41727,53067,40647,26808,53076,31958,84680,35686,26776,42881,33683,23672,52130,19115,55162,52469
miR-107,6459,9029,10159,35505,6964,13547,6977,17429,18955,6874,10314,8364,16195,9986,8221,10445,8011,9522,9389,6855,14130,7717,11678,11723,6391,12364,4717,14341,19513,13245,12199
miR-10a-3p,0,10,2,0,2,20,2,1,4,2,5,2,2,12,2,4,4,4,2,2,5,12,0,3,18,5,3,8,3,2,3
miR-10a-5p,3,191,9,4,37,459,11,9,86,103,275,20,24,195,9,9,37,39,11,9,6,28,7,77,231,11,30,236,58,126,127
miR-10b-3p,2,3,0,7,7,0,1,10,25,0,298,12,26,4,2,2,2,0,0,1,0,2,2,7,1,4,3,326,7,207,12
miR-10b-5p,18,39,24,46,792,63,0,388,1007,18,14299,867,1519,150,17,130,38,131,24,0,16,7,119,941,26,323,15,18211,232,16565,1227
